property_phys_chem_id,procedure_phys_chem_id,unit_of_measure_id,value_min,value_max
Clay texture fraction,SaSiCl_2-64-2000u-disp-spec,%,0,100
Clay texture fraction,SaSiCl_2-64-2000u-fld,%,0,100
Clay texture fraction,SaSiCl_2-64-2000u-nodisp,%,0,100
Clay texture fraction,SaSiCl_2-64-2000u-nodisp-hydrometer,%,0,100
Clay texture fraction,SaSiCl_2-64-2000u-nodisp-hydrometer-bouy,%,0,100
Clay texture fraction,SaSiCl_2-64-2000u-nodisp-laser,%,0,100
Clay texture fraction,SaSiCl_2-64-2000u-nodisp-pipette,%,0,100
Clay texture fraction,SaSiCl_2-64-2000u-nodisp-spec,%,0,100
coarseFragmentsProperty,CrsFrg_fld,%,0,100
coarseFragmentsProperty,CrsFrg_fldcls,%,0,100
coarseFragmentsProperty,CrsFrg_lab,%,0,100
Copper (Cu) - extractable,Extr_ap14,%,0,100
Copper (Cu) - extractable,Extr_ap15,%,0,100
Copper (Cu) - extractable,Extr_ap20,%,0,100
Copper (Cu) - extractable,Extr_ap21,%,0,100
Copper (Cu) - extractable,Extr_c6h8o7-reeuwijk,%,0,100
Copper (Cu) - extractable,Extr_cacl2,%,0,100
Copper (Cu) - extractable,Extr_capo4,%,0,100
Copper (Cu) - extractable,Extr_dtpa,%,0,100
Copper (Cu) - extractable,Extr_edta,%,0,100
Copper (Cu) - extractable,Extr_h2so4-truog,%,0,100
Copper (Cu) - extractable,Extr_hcl-h2so4-nelson,%,0,100
Copper (Cu) - extractable,Extr_hcl-nh4f-bray1,%,0,100
Copper (Cu) - extractable,Extr_hcl-nh4f-bray2,%,0,100
Copper (Cu) - extractable,Extr_hcl-nh4f-kurtz-bray,%,0,100
Copper (Cu) - extractable,Extr_hno3,%,0,100
Copper (Cu) - extractable,Extr_hotwater,%,0,100
Copper (Cu) - extractable,Extr_m1,%,0,100
Copper (Cu) - extractable,Extr_m2,%,0,100
Copper (Cu) - extractable,Extr_m3,%,0,100
Copper (Cu) - extractable,Extr_m3-spec,%,0,100
Copper (Cu) - extractable,Extr_nahco3-olsen,%,0,100
Copper (Cu) - extractable,Extr_nahco3-olsen-dabin,%,0,100
Copper (Cu) - extractable,Extr_naoac-morgan,%,0,100
Copper (Cu) - extractable,Extr_nh4ch3ch-oh-cooh-leuven,%,0,100
Copper (Cu) - extractable,Extr_nh4-co3-2-ambic1,%,0,100
Copper (Cu) - total,Total_h2so4,%,0,100
Copper (Cu) - total,Total_hcl,%,0,100
Copper (Cu) - total,Total_hcl-aquaregia,%,0,100
Copper (Cu) - total,Total_hclo4,%,0,100
Copper (Cu) - total,Total_hno3-aquafortis,%,0,100
Copper (Cu) - total,Total_nh4-6mo7o24,%,0,100
Copper (Cu) - total,Total_tp03,%,0,100
Copper (Cu) - total,Total_tp04,%,0,100
Copper (Cu) - total,Total_tp05,%,0,100
Copper (Cu) - total,Total_tp06,%,0,100
Copper (Cu) - total,Total_tp07,%,0,100
Copper (Cu) - total,Total_tp08,%,0,100
Copper (Cu) - total,Total_tp09,%,0,100
Copper (Cu) - total,Total_tp10,%,0,100
Copper (Cu) - total,Total_unkn,%,0,100
